group;instance_name;V_E;k;conflitos_Tabu_rand;avg_iter_Tabu_rand;std_Tabu_rand;tempo_s_Tabu_rand;conflitos_Tabu_gree;avg_iter_Tabu_gree;std_Tabu_gree;tempo_s_Tabu_gree;conflitos_SA_rand;avg_iter_SA_rand;std_SA_rand;tempo_s_SA_rand;conflitos_SA_gree;avg_iter_SA_gree;std_SA_gree;tempo_SA_gree;V;E
SGB;miles1000;(128/3216);42;7.34;56.74;2.031171230018918;3.989827209999999;4.0;0.0;0.0;2.4067468;84.86666666666666;110389.5;3.7021273784726505;9695.034899999999;4.0;0.0;0.0;1935.18738;128;3216
SGB;miles1500;(128/5198);73;6.76;49.95;2.1230814274244754;7.54935403;6.0;0.0;0.0;6.6843659;77.53333333333333;122368.76666666666;3.62684752760655;14923.683866666666;6.0;0.0;0.0;2978.8557999999994;128;5198
SGB;miles250;(128/387);8;2.08;36.92;1.6310125751207496;0.20401481999999993;0.0;1.0;0.0;0.0001241;39.733333333333334;91842.86666666667;1.7991057804352142;1512.1138666666668;1.98;0.0;0.19999999999999998;309.06114;128;387
SGB;miles500;(128/1170);20;4.08;43.77;1.3902982748062707;0.8085313799999999;4.0;0.0;0.0;0.7902142;57.0;104341.16666666667;2.9594966953276316;3864.6491;4.0;0.0;0.0;772.43859;128;1170
SGB;miles750;(128/2113);31;6.34;53.95;1.8214213564070663;2.07690706;4.0;1.0;0.0;1.4515093000000001;71.06666666666666;101343.76666666666;3.00497671496324;6407.704333333334;5.94;0.01;0.3428932159955306;1282.47724;128;2113
SGB;queen11_11;(121/3960);11;46.38;146.43;6.014762982643102;4.34831668;42.0;54.0;0.0;3.9910612;218.53333333333333;154432.4;6.946759767284875;7997.734933333332;75.78;0.02;0.8478135872866622;1599.1628099999998;121;3960
SGB;queen13_13;(169/6656);13;59.92;240.55;6.968442574865054;7.995971239999999;56.0;460.0;0.0;7.9862234999999995;332.3333333333333;151218.43333333332;8.372093765778576;13074.706666666669;121.82;0.04;0.7571877794400365;2614.5181199999997;169;6656
SGB;queen5_5;(25/160);5;5.92;17.1;6.259828635470348;0.12758847;12.0;2.0;0.0;0.21998369999999995;18.8;98425.86666666667;2.2651786867173684;862.3411333333332;15.54;0.1;1.0192094381371666;176.35765;25;160
SGB;queen6_6;(36/290);7;5.2;31.17;2.2918388365077624;0.21298698000000002;6.0;14.0;0.0;0.2556877000000001;30.0;110575.43333333333;1.96521473776207;1286.0049333333334;13.84;0.06;0.6149648918286458;266.70754;36;290
SGB;queen7_7;(49/476);7;20.68;40.14;4.237590319647679;0.7539685800000001;22.0;22.0;0.0;0.7292436;62.0;114573.56666666667;2.924333109946785;2176.5411;33.64;0.05;0.9589556609124112;426.18347;49;476
SGB;queen8_12;(96/1368);12;7.8;99.61;4.1046905910780715;0.9423627299999999;2.0;45.0;0.0;0.5955974;125.8;132635.36666666667;5.567144999753093;5368.152766666667;27.98;0.0;0.19999999999999998;1080.30049;96;1368
SGB;queen8_8;(64/728);9;12.26;62.11;4.016682383975285;0.7769207999999999;8.0;22.0;0.0;0.5888058;78.86666666666666;132100.86666666667;4.25670532570497;3091.932766666667;17.92;0.01;0.3938927711338647;621.65903;64;728
SGB;queen9_9;(81/2112);10;16.1;86.26;5.221362491019586;1.2586647400000002;6.0;59.0;0.0;0.7601167999999999;114.0;136305.46666666667;4.982728791224398;4426.662266666667;31.96;0.0;0.28141058827257937;880.6421799999999;81;2112
